Yosemite,French
5.4,4a
5.5,4b
5.6,4c
5.7+,5a
5.7,5a
5.8-,5b
5.8+,5b
5.8,5b
5.9-,5c
5.9+,5c
5.9,5c
5.10-,6a
5.10a,6a
5.10a/b,6a+
5.10b,6a+
5.10,6b
5.10c,6b
5.10b/c,6b
5.10+,6b+
5.10d,6b+
5.10c/d,6b+
5.11a,6c
5.11-,6c
5.11b,6c
5.11a/b,6c
5.11,6c+
5.11c,6c+
5.11b/c,6c+
5.11+,7a
5.11d,7a
5.11c/d,7a
5.12-,7a+
5.12a,7a+
5.12a/b,7b
5.12b,7b
5.12,7b+
5.12c,7b+
5.12b/c,7b+
5.12+,7c
5.12c/d,7c
5.12d,7c
5.13-,7c+
5.13a,7c+
5.13a/b,8a
5.13,8a
5.13b,8a
5.13b/c,8a+
5.13c,8a+
5.13+,8b
5.13c/d,8b
5.13d,8b
5.14-,8b+
5.14a,8b+
5.14a/b,8c
5.14b,8c
5.14,8c+
5.14b/c,8c+
5.14c,8c+
5.14+,9a
5.14c/d,9a
5.14d,9a
5.15a,9a+
5.15-,9a+
5.15a/b,9a+
5.15,9b
5.15b,9b
5.15+,9b+
5.15c,9b+
5.15c/d,9c
5.15d,9c